schemeCode,schemeName,isinGrowth,isinDivReinvestment
119490,aditya birla sun life asset allocation-conservative plan - growth - direct plan,,
119493,aditya birla sun life asset allocation - aggressive plan - growth - direct plan,,
119495,aditya birla sun life asset allocation - moderate plan - growth - direct plan,,
119498,aditya birla sun life short term fund - growth - direct plan,INF209K01XK8,
119501,aditya birla sun life savings fund - growth - direct plan,INF209K01UR9,
119505,aditya birla sun life dynamic bond fund - growth - direct plan,INF209K01N82,
119509,birla sun life floating rate - long term - growth - direct plan,,
119511,aditya birla sun life money manager fund - growth - direct plan,INF209K01UU3,
119514,aditya birla sun life infrastructure fund - growth - direct plan,INF209K01WH6,
119520,aditya birla sun life long term advantage - growth - direct plan,,
119526,aditya birla sun life arbitrage fund - growth - direct plan,INF209K01VP1,
119528,aditya birla sun life large cap fund - growth - direct plan,INF209K01YY7,
119529,aditya birla sun life government securities fund - short term plan - growth - direct plan,,
119533,aditya birla sun life corporate bond fund - growth - direct plan,INF209K01S38,
119536,aditya birla sun life india reforms fund - growth - direct plan,,
119539,aditya birla sun life medium term plan - growth - direct plan,INF209K01XA9,
119542,sundaram equity hybrid fund direct plan - growth,,
119544,aditya birla sun life elss tax saver fund - growth - direct plan,INF209K01UN8,
119546,aditya birla sun life special situations fund - growth - direct plan,,
119549,sundaram value fund direct plan - growth,INF903J01NN3,
119550,aditya birla sun life banking & psu debt fund- direct plan-growth,INF209K01YN0,
119555,sundaram select thematic funds capex opportunities -direct plan - growth option,,
119556,aditya birla sun life small cap fund - growth - direct plan,INF209K01WN4,
119559,sundaram select thematic funds energy opportunities -direct plan - growth option,,
119564,aditya birla sun life focused fund - growth - direct plan,INF209K01WE3,
119566,sundaram large and midcap fund direct plan - growth,INF903J01PR9,
119572,sundaram multi asset fund direct growth,,
119578,sundaram select focus direct plan - growth,,
119581,sundaram mid cap fund direct plan - growth,INF903J01MJ3,
119586,sundaram select thematic funds psu opportunities -direct plan - growth option,,
119589,sundaram small cap fund direct plan - growth,INF903J01NK9,
119591,aditya birla sun life consumption fund - growth - direct plan,INF209K01WC7,
119592,sundaram growth fund - direct plan - growth option,,
119595,sundaram consumption fund (formerly known as sundaram rural and consumption fund direct plan - growth),INF903J01NH5,
119597,sundaram financial services opportunities fund direct plan - growth,INF903J01NB8,
119598,sbi large cap fund-direct plan -growth,INF200K01QX4,
119599,sundaram entertainment opportunities fund -direct plan - growth option,,
119603,sundaram gilt fund - direct plan - growth option,,
119605,aditya birla sun life government securities fund - growth - direct plan,INF209K01XP7,
119609,sbi equity hybrid fund - direct plan - growth,INF200K01RY0,
119614,aditya birla sun life constant maturity 10 year gilt fund - growth - direct plan,,
119618,aditya birla sun life india opportunities fund - growth - direct plan,,
119620,aditya birla sun life midcap fund - growth - direct plan,INF209K01Q30,
119621,sundaram corporate bond fund direct plan - growth,INF903J01NR4,
119625,sundaram banking & psu fund (formerly known as sundaram banking and psu debt fund) direct plan - growth,INF903J01PA5,
119632,sundaram short term credit risk fund - direct plan - growth option,,
119635,sundaram conservative hybrid fund (formerly known as sundaram debt oriented hybrid fund) direct plan - growth,INF903J01OP6,
119646,aditya birla sun life mnc fund - growth - direct plan,INF209K01VT3,
119654,sundaram monthly income plan - moderate plan - direct plan - growth option,,
119657,aditya birla sun life income fund - growth - direct plan,INF209K01WY1,
119659,aditya birla sun life value fund - growth - direct plan,INF209K01WQ7,
119661,aditya birla sun life tax plan - direct plan - growth option,,
119664,sundaram short term debt fund direct plan - growth,,
119671,sbi dynamic bond fund - direct plan - growth,INF200K01RD4,
119675,sundaram medium duration fund (formerly known as sundaram medium term bond fund) direct plan - growth,INF903J01PO6,
119685,sbi edge fund - direct plan - growth,,
119686,sundaram money fund direct plan - growth,,
119700,sbi infrastructure fund -  direct plan - growth,INF200K01RS2,
119705,sbi comma fund - direct plan - growth,INF200K01SB6,
119707,sbi gilt fund - direct plan - growth,INF200K01SH3,
119709,sbi esg exclusionary strategy fund - direct plan -growth,INF200K01SE0,
119711,sbi mnc fund - direct plan -growth,INF200K01SN1,
119714,sbi medium to long duration fund-direct plan -growth,INF200K01SR2,
119716,sbi midcap fund - direct plan - growth,INF200K01TP4,
119718,sbi flexicap fund - direct plan - growth option,INF200K01UG1,
119719,sbi children's fund - savings plan - direct plan - growth,INF200K01QR6,
119721,sbi large & midcap fund -direct plan -growth,INF200K01UJ5,
119723,sbi elss tax saver fund - direct plan -growth,INF200K01UM9,
119727,sbi focused fund - direct plan -growth,INF200K01RJ1,
119732,sbi psu fund - direct plan - growth,INF200K01UY4,
119735,kotak bond fund - growth - direct,INF174K01JC0,
119739,kotak bond short term plan-(growth) - direct,INF174K01JI7,
119741,kotak credit risk fund - growth - direct,INF174K01LZ7,
119750,kotak savings fund-growth - direct,INF174K01JP2,
119755,kotak dynamic bond fund - growth - direct,INF174K01JU2,
119757,kotak gilt-investment  provident fund and trust-growth - direct,INF174K01KM7,
119762,kotak gilt-savings-growth - direct,,
119769,kotak contra fund - direct plan - growth,INF174K01KZ9,
119771,kotak arbitrage fund - direct plan - growth,INF174K01LC6,
119773,kotak elss tax saver fund-growth - direct,INF174K01LI3,
119775,kotak midcap fund - direct plan - growth,INF174K01LT0,
119783,sbi healthcare opportunities fund - direct plan -growth,INF200K01UP2,
119786,l&t credit risk fund- direct plan - growth,,
119795,l&t banking and psu debt fund - direct plan - growth,,
119798,sbi credit risk fund - direct plan -growth,INF200K01SV4,
119802,l&t equity savings fund - direct plan-growth,,
119807,l&t mid cap fund-direct plan-growth,,
119816,sbi short term debt fund - direct plan -growth,INF200K01VE4,
119821,sbi  savings fund - direct plan - growth,INF200K01SZ5,
119824,sbi medium duration fund - direct plan - growth,INF200K01VB0,
119835,sbi contra fund - direct plan - growth,INF200K01RA0,
119839,sbi conservative hybrid fund - direct plan - growth,INF200K01TS8,
119843,sbi multi asset allocation fund - direct plan - growth,INF200K01TZ3,
119844,l&t triple ace bond fund - direct plan -growth,,
119852,l&t conservative hybrid fund -direct plan- growth,,
119856,l&t short term bond fund -direct plan- growth,,
119859,most 10 year gilt fund - direct plan - growth,,
119863,tata treasury advantage fund - direct plan - growth option,INF277K01OK4,
119867,jpmorgan india equity fund - direct plan - growth option,,
119869,jpmorgan india mid and small cap fund - direct plan - growth option,,
119871,jpmorgan india tax advantage fund - direct plan - growth option,,
119872,jpmorgan greater china equity off-shore fund - direct plan - growth option,,
119874,jpmorgan eemea equity off-shore fund - direct plan - growth option,,
119876,tata income fund - direct plan - growth option,,
119878,jpmorgan asean equity off-shore fund - direct plan - growth option,,
119883,jpmorgan india active bond fund - direct plan - growth option,,
119884,tata fixed income portfolio fund - scheme a1 - direct plan - growth,,
119886,ing core equity fund - direct plan - growth option,,
119890,jpmorgan india short term income fund - direct plan -  growth option,,
119893,bnp paribas large cap fund - direct plan - growth option,,
