schemeCode,schemeName,NAV,scheme_type,scheme_category
Scheme Code,Scheme Name,Net Asset Value,,
128627,HDFC Banking and PSU Debt Fund - IDCW Option,10.1489,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),HDFC Mutual Fund
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.0414,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),HDFC Mutual Fund
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.1735,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),HSBC Mutual Fund
151107,HSBC Banking and PSU Debt Fund - Direct Growth,26.3589,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),HSBC Mutual Fund
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.2222,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),HSBC Mutual Fund
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.3536,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),HSBC Mutual Fund
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.0988,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),HSBC Mutual Fund
151104,HSBC Banking and PSU Debt Fund - Regular Growth,24.9759,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),HSBC Mutual Fund
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.4518,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),HSBC Mutual Fund
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3263,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),HSBC Mutual Fund
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,10.2538,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,35.2937,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,12.9760,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,10.3708,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.1098,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,33.7889,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.9800,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12.9261,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ICICI Prudential Mutual Fund
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,2500.0349,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Invesco Mutual Fund
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),1063,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Invesco Mutual Fund
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1012.4285,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Invesco Mutual Fund
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),1049.8834,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Invesco Mutual Fund
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,2329.7826,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Invesco Mutual Fund
118233,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),1063.0931,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Invesco Mutual Fund
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,13.7919,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ITI Mutual Fund
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,13.7939,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ITI Mutual Fund
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,13.3957,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ITI Mutual Fund
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,13.3968,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),ITI Mutual Fund
123690,Kotak Banking and PSU Debt - Growth,67.5319,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Kotak Mahindra Mutual Fund
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,12.6877,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Kotak Mahindra Mutual Fund
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Kotak Mahindra Mutual Fund
123693,Kotak Banking and PSU Debt Direct - Growth,70.5115,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Kotak Mahindra Mutual Fund
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.2688,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Kotak Mahindra Mutual Fund
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,14.2929,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),LIC Mutual Fund
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,38.7089,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),LIC Mutual Fund
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,14.5783,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),LIC Mutual Fund
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,10.049,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),LIC Mutual Fund
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,11.4813,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),LIC Mutual Fund
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,35.7852,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),LIC Mutual Fund
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,13.3931,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),LIC Mutual Fund
105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,10.3813,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),LIC Mutual Fund
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,13.6320,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Mirae Asset Mutual Fund
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,13.6260,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Mirae Asset Mutual Fund
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,13.2976,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Mirae Asset Mutual Fund
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,13.2987,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Mirae Asset Mutual Fund
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,22.1618,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,10.2900,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,22.1618,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
134550,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,10.7772,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
134556,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,10.8645,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
134554,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,10.2893,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
134548,NIPPON INDIA BANKING and PSU FUND - IDCW Option,21.3044,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
134549,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,10.6995,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
134551,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,10.7988,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,22.1615,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
134546,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,12.3452,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Nippon India Mutual Fund
